operation,risk_stratum,n,candidate_evidence_units_mean,selected_evidence_units_mean,comprehensiveness,sufficiency_percentile_error,sparsity,geometry_fidelity,prototype_vote_agreement,provenance_coverage,timestamp_parse_coverage,explanation_stability
honduras,all,12,95.91666666666667,5.833333333333333,0.22915459420967133,0.0006153800505893427,0.6823455291731301,0.9945913222479635,1.0,1.0,1.0,0.9262674362674362
honduras,high,4,284.75,14.5,0.19183709044514174,0.0018422828997633682,0.04703658751939034,0.9837741128624733,1.0,1.0,1.0,0.7788023088023088
honduras,medium,4,2.0,2.0,0.024435913983280322,3.5605403119948197e-06,1.0,0.9999998538814173,1.0,1.0,1.0,1.0
honduras,low,4,1.0,1.0,0.47119077820059196,2.9671169266519415e-07,1.0,1.0,1.0,1.0,1.0,1.0
uae,all,12,348.1666666666667,5.166666666666667,0.2600033861076025,0.00034184092868456436,0.672991092456854,0.9948452703309015,1.0,1.0,1.0,0.9685557563158542
uae,high,4,1040.5,11.5,-1.921393294107565e-06,0.0010166676691327333,0.018973277370561984,0.9845359145173902,1.0,1.0,1.0,0.9056672689475627
uae,medium,4,3.0,3.0,0.1432936273232151,8.688039243206004e-06,1.0,0.9999998964753146,1.0,1.0,1.0,1.0
uae,low,4,1.0,1.0,0.6367184523928865,1.6707767775391938e-07,1.0,1.0,1.0,1.0,1.0,1.0
